Price,Close,High,Low,Open,Volume
Ticker,005930.KQ,005930.KQ,005930.KQ,005930.KQ,005930.KQ
Date,,,,,
2023-01-02,53213.73828125,53789.021938344595,52926.0964527027,53213.73828125,10031448
2023-01-03,53117.85546875,53693.139101985566,52254.930018896666,53117.85546875,13547030
2023-01-04,55418.98828125,55610.74948637543,53309.61502487025,53405.49562743296,20188071
2023-01-05,55802.5078125,56377.79139819588,55227.22422680412,55802.5078125,15682826
2023-01-06,56569.5546875,56953.07709216102,55514.86807468221,55898.39047934322,17334989
2023-01-09,58199.52734375,58199.52734375,57144.840686779244,57240.721291958405,18640107
2023-01-10,57911.890625,58583.05492032285,57432.48755691225,57720.129397764904,14859797
2023-01-11,58007.76953125,58678.93380681818,57816.00830965909,58487.17258522727,12310751
2023-01-12,58007.76953125,58678.93380681818,57432.48586647728,58583.05319602273,16102561
2023-01-13,58295.41015625,58678.93259148849,57911.88772101152,58007.768329821134,12510328
2023-01-16,58583.05078125,59062.45381546645,58295.40896072013,58774.81199493658,10039972
2023-01-17,58487.171875,58966.574923155735,58103.64943647541,58678.93309426229,9831456
2023-01-18,57911.890625,58487.174306705296,57432.48755691225,58199.53246585265,11584041
2023-01-19,58966.5703125,58966.5703125,57911.88368902439,58007.764291158535,12808490
2023-01-20,59254.21484375,59733.61787646642,58583.050597947,59541.856663379855,9646327
2023-01-25,60692.42578125,61075.94821904621,60404.78395290284,60884.18700014811,39217
2023-01-26,61171.82421875,61267.70482097375,60692.42120763127,61171.82421875,54188
2023-01-27,61938.8671875,62322.38958494582,61267.70299196982,61747.10598877709,44282
2023-01-30,60692.42578125,62226.51553243484,60500.6645623519,62226.51553243484,59628
2023-01-31,58870.69140625,61075.945318861974,58487.16898666531,60884.184109069625,163847
2023-02-01,58487.171875,60117.14223872951,58487.171875,60021.26162909836,98585
2023-02-02,60884.19140625,61267.713871801185,60021.26585875985,60596.54955708662,65992
2023-02-03,60884.19140625,61363.59448818898,60404.78832431103,61267.713871801185,47567
2023-02-06,59062.453125,60404.78160511364,59062.453125,60213.020393668834,144104
2023-02-07,59445.97265625,59925.37566154234,59062.450252016126,59350.09205519153,32873
2023-02-08,60500.6640625,60692.42527981379,59829.499801901744,60213.022236529316,42558
2023-02-09,60692.42578125,60692.42578125,59733.61968675948,60404.78395290284,48035
2023-02-10,60308.90625,60404.78686406995,59829.50317965024,60021.26440779014,44786
2023-02-13,60308.90625,60404.78686406995,59733.622565580285,60308.90625,59395
2023-02-14,60596.53515625,61267.69931146163,60596.53515625,60980.057530656646,70606
2023-02-15,59637.734375,61267.70460711415,59445.97317122187,61267.70460711415,58370
2023-02-16,61075.94921875,61075.94921875,59829.5012755102,59925.38188652865,41448
2023-02-17,60021.2578125,60692.422037240416,59829.496605431304,60308.89962310303,28613
2023-02-20,60117.140625,60404.78244617225,59254.215161483255,60308.901839114835,29846
2023-02-21,59541.85546875,60213.01970108695,59445.97486413043,60117.13909646739,60971
2023-02-22,58583.05078125,59254.21502915303,58487.17017440671,58966.57320862316,39178
2023-02-23,59445.97265625,59925.37566154234,58966.56965095766,59158.33085307459,37145
2023-02-24,58774.80859375,60021.25641058319,58774.80859375,59733.61460669861,50792
2023-02-27,58007.76953125,58295.41136363636,57720.12769886364,58295.41136363636,11155697
2023-02-28,58103.65234375,58870.69725917904,58007.77172932137,58295.41357260726,13715861
2023-03-02,58295.41015625,59254.21624434622,58007.768329821134,58391.290765059624,13095682
2023-03-03,58007.76953125,58678.93380681818,58007.76953125,58487.17258522727,10711405
2023-03-06,58966.5703125,59062.450914634144,58295.406097560975,58583.047903963416,13630602
2023-03-07,58199.52734375,58870.691580004124,58199.52734375,58870.691580004124,11473280
2023-03-08,57816.00390625,58007.7651132359,57432.481492278195,57624.2426992641,14161857
2023-03-09,57624.24609375,58295.410357737106,57432.48487546797,58007.76853031406,14334499
2023-03-10,57048.9609375,57240.722150735295,56665.43851102941,57048.9609375,11902471
2023-03-13,57528.37109375,57720.13233072917,56857.20676432292,57432.49047526042,12779724
2023-03-14,56569.5546875,57048.95769332627,56569.5546875,56953.07709216102,12147346
2023-03-15,57336.60546875,57816.00852450878,57144.84424644649,57528.36669105352,10482149
2023-03-16,57432.48828125,57720.13012573038,56665.44336263564,56761.32397746243,10611939
2023-03-17,58774.80859375,58774.80859375,58103.64438468597,58295.405587275694,14090110
2023-03-20,57720.125,58678.931063122924,57720.125,58583.05045681063,9618009
2023-03-21,57816.00390625,58199.52632022181,57624.2426992641,58007.7651132359,8318514
